event_name,timestamp,session_id,login_name,program_name,database_name,_linea,command,duration,cpu_time,logical_reads,writes,wait_type,resource_type,mode,status,process_type,run_name
logout,2026-09-04 05:08:54.233,75,,,,"{""event_name"": ""logout"", ""timestamp"": ""2026-09-04 05:08:54.233"", ""session_id"": 75}",,,,,,,,,,UNKNOWN,carga1
wait_info,2026-09-04 05:08:54.233,58,,,master,"{""event_name"": ""wait_info"", ""timestamp"": ""2026-09-04 05:08:54.233"", ""session_id"": 58, ""wait_type"": ""SLEEP_TASK"", ""database_name"": ""master""}",,,,,,SLEEP_TASK,,,,UNKNOWN,carga1
sql_batch_completed,2026-09-04 05:08:54.233,62,,,SteelNort,"{""event_name"": ""sql_batch_completed"", ""timestamp"": ""2026-09-04 05:08:54.233"", ""database_name"": ""SteelNort"", ""session_id"": 62, ""command"": ""EXECUTE"", ""duration"": 7, ""cpu_time"": 0, ""logical_reads"": 0, ""writes"": 0}",EXECUTE,7.0,0.0,0.0,0.0,,,,,USER,carga1
sql_batch_completed,2026-09-04 05:08:54.233,72,,,master,"{""event_name"": ""sql_batch_completed"", ""timestamp"": ""2026-09-04 05:08:54.233"", ""database_name"": ""master"", ""session_id"": 72, ""command"": ""TASK MANAGER"", ""duration"": 481262, ""cpu_time"": 0, ""logical_reads"": 0, ""writes"": 0, ""status"": ""completed""}",TASK MANAGER,481262.0,0.0,0.0,0.0,,,,completed,SQL_SERVER_INTERNAL,carga1
sql_batch_completed,2026-09-04 05:08:54.233,74,,,master,"{""event_name"": ""sql_batch_completed"", ""timestamp"": ""2026-09-04 05:08:54.233"", ""database_name"": ""master"", ""session_id"": 74, ""command"": ""TASK MANAGER"", ""duration"": 481263, ""cpu_time"": 0, ""logical_reads"": 0, ""writes"": 0, ""status"": ""completed""}",TASK MANAGER,481263.0,0.0,0.0,0.0,,,,completed,SQL_SERVER_INTERNAL,carga1
sql_batch_completed,2026-09-04 05:08:54.233,75,,,master,"{""event_name"": ""sql_batch_completed"", ""timestamp"": ""2026-09-04 05:08:54.233"", ""database_name"": ""master"", ""session_id"": 75, ""command"": ""TASK MANAGER"", ""duration"": 181191, ""cpu_time"": 0, ""logical_reads"": 0, ""writes"": 0, ""status"": ""completed""}",TASK MANAGER,181191.0,0.0,0.0,0.0,,,,completed,SQL_SERVER_INTERNAL,carga1
lock_acquired,2026-09-04 05:08:54.233,67,,,,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-04 05:08:54.233"", ""session_id"": 67, ""resource_type"": ""KEY"", ""mode"": ""X""}",,,,,,,KEY,X,,UNKNOWN,carga1
lock_acquired,2026-09-04 05:08:54.233,67,,,,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-04 05:08:54.233"", ""session_id"": 67, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",,,,,,,OBJECT,IX,,UNKNOWN,carga1
lock_acquired,2026-09-04 05:08:54.233,67,,,,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-04 05:08:54.233"", ""session_id"": 67, ""resource_type"": ""RID"", ""mode"": ""X""}",,,,,,,RID,X,,UNKNOWN,carga1
lock_acquired,2026-09-04 05:08:54.233,67,,,,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-04 05:08:54.233"", ""session_id"": 67, ""resource_type"": ""PAGE"", ""mode"": ""IX""}",,,,,,,PAGE,IX,,UNKNOWN,carga1
wait_info,2026-09-04 05:08:59.276,58,,,master,"{""event_name"": ""wait_info"", ""timestamp"": ""2026-09-04 05:08:59.276"", ""session_id"": 58, ""wait_type"": ""BROKER_TO_FLUSH"", ""database_name"": ""master""}",,,,,,BROKER_TO_FLUSH,,,,UNKNOWN,carga1
sql_batch_completed,2026-09-04 05:08:59.276,62,,,SteelNort,"{""event_name"": ""sql_batch_completed"", ""timestamp"": ""2026-09-04 05:08:59.276"", ""database_name"": ""SteelNort"", ""session_id"": 62, ""command"": ""EXECUTE"", ""duration"": 5040, ""cpu_time"": 0, ""logical_reads"": 0, ""writes"": 0, ""status"": ""completed""}",EXECUTE,5040.0,0.0,0.0,0.0,,,,completed,USER,carga1
lock_released,2026-09-04 05:08:59.276,67,,,,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-04 05:08:59.276"", ""session_id"": 67, ""resource_type"": ""KEY"", ""mode"": ""X""}",,,,,,,KEY,X,,UNKNOWN,carga1
lock_released,2026-09-04 05:08:59.276,67,,,,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-04 05:08:59.276"", ""session_id"": 67, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",,,,,,,OBJECT,IX,,UNKNOWN,carga1
